label	radius_index	radius	ripley_l
Allantois	0	0	0
Allantois	1	0.1608000721	0.00301739429
Allantois	2	0.3216001441	0.004530257189
Allantois	3	0.4824002162	0.005502892417
Allantois	4	0.6432002882	0.006391029046
Allantois	5	0.8040003603	0.007049709951
Allantois	6	0.9648004323	0.007408071272
Allantois	7	1.125600504	0.007687970532
Allantois	8	1.286400576	0.007986424741
Allantois	9	1.447200648	0.008237563047
Allantois	10	1.608000721	0.008403812044
Allantois	11	1.768800793	0.008581502139
Allantois	12	1.929600865	0.008755586848
Allantois	13	2.090400937	0.008889572357
Allantois	14	2.251201009	0.009013200665
Allantois	15	2.412001081	0.009187318129
Allantois	16	2.572801153	0.009339364452
Allantois	17	2.733601225	0.009568160918
Allantois	18	2.894401297	0.009921747937
Allantois	19	3.055201369	0.01037769996
Allantois	20	3.216001441	0.01074678891
Allantois	21	3.376801513	0.01102405171
Allantois	22	3.537601585	0.01124317631
Allantois	23	3.698401657	0.01151940831
Allantois	24	3.859201729	0.01171426272
Anterior somitic tissues	0	0	0
Anterior somitic tissues	1	0.1608000721	0.003311471514
Anterior somitic tissues	2	0.3216001441	0.005461602937
Anterior somitic tissues	3	0.4824002162	0.006765711469
Anterior somitic tissues	4	0.6432002882	0.007995866823
Anterior somitic tissues	5	0.8040003603	0.009082694374
Anterior somitic tissues	6	0.9648004323	0.00985561917
Anterior somitic tissues	7	1.125600504	0.01048859143
Anterior somitic tissues	8	1.286400576	0.01103089399
Anterior somitic tissues	9	1.447200648	0.01145591589
Anterior somitic tissues	10	1.608000721	0.0118932469
Anterior somitic tissues	11	1.768800793	0.01233546332
Anterior somitic tissues	12	1.929600865	0.01283311583
Anterior somitic tissues	13	2.090400937	0.01329705427
Anterior somitic tissues	14	2.251201009	0.0137380215
Anterior somitic tissues	15	2.412001081	0.01423611247
Anterior somitic tissues	16	2.572801153	0.01476172127
Anterior somitic tissues	17	2.733601225	0.01521148777
Anterior somitic tissues	18	2.894401297	0.01561132149
Anterior somitic tissues	19	3.055201369	0.0160184481
Anterior somitic tissues	20	3.216001441	0.01635100349
Anterior somitic tissues	21	3.376801513	0.01662103412
Anterior somitic tissues	22	3.537601585	0.01683154954
Anterior somitic tissues	23	3.698401657	0.01704979352
Anterior somitic tissues	24	3.859201729	0.0172346603
Cardiomyocytes	0	0	0
Cardiomyocytes	1	0.1608000721	0.02641571174
Cardiomyocytes	2	0.3216001441	0.04233867396
Cardiomyocytes	3	0.4824002162	0.05627937656
Cardiomyocytes	4	0.6432002882	0.06933625583
Cardiomyocytes	5	0.8040003603	0.08023656227
Cardiomyocytes	6	0.9648004323	0.09079315426
Cardiomyocytes	7	1.125600504	0.09927171222
Cardiomyocytes	8	1.286400576	0.1059359914
Cardiomyocytes	9	1.447200648	0.1113241358
Cardiomyocytes	10	1.608000721	0.1150783068
Cardiomyocytes	11	1.768800793	0.1164956543
Cardiomyocytes	12	1.929600865	0.1167621976
Cardiomyocytes	13	2.090400937	0.1168020405
Cardiomyocytes	14	2.251201009	0.1168020405
Cardiomyocytes	15	2.412001081	0.1168020405
Cardiomyocytes	16	2.572801153	0.1168020405
Cardiomyocytes	17	2.733601225	0.1168020405
Cardiomyocytes	18	2.894401297	0.1168020405
Cardiomyocytes	19	3.055201369	0.1168020405
Cardiomyocytes	20	3.216001441	0.1168020405
Cardiomyocytes	21	3.376801513	0.1168020405
Cardiomyocytes	22	3.537601585	0.1168020405
Cardiomyocytes	23	3.698401657	0.1168020405
Cardiomyocytes	24	3.859201729	0.1168020405
Cranial mesoderm	0	0	0
Cranial mesoderm	1	0.1608000721	0.01229870801
Cranial mesoderm	2	0.3216001441	0.0198447633
Cranial mesoderm	3	0.4824002162	0.02528017706
Cranial mesoderm	4	0.6432002882	0.02985636212
Cranial mesoderm	5	0.8040003603	0.03369446432
Cranial mesoderm	6	0.9648004323	0.03694381018
Cranial mesoderm	7	1.125600504	0.03985710177
Cranial mesoderm	8	1.286400576	0.04268595327
Cranial mesoderm	9	1.447200648	0.04541513331
Cranial mesoderm	10	1.608000721	0.04787706574
Cranial mesoderm	11	1.768800793	0.05022696138
Cranial mesoderm	12	1.929600865	0.05250191333
Cranial mesoderm	13	2.090400937	0.05467080214
Cranial mesoderm	14	2.251201009	0.05670677366
Cranial mesoderm	15	2.412001081	0.0585051473
Cranial mesoderm	16	2.572801153	0.06019599139
Cranial mesoderm	17	2.733601225	0.06183126678
Cranial mesoderm	18	2.894401297	0.06345174989
Cranial mesoderm	19	3.055201369	0.06515589405
Cranial mesoderm	20	3.216001441	0.06686625729
Cranial mesoderm	21	3.376801513	0.06845610394
Cranial mesoderm	22	3.537601585	0.07011718961
Cranial mesoderm	23	3.698401657	0.07183792146
Cranial mesoderm	24	3.859201729	0.07340540831
Definitive endoderm	0	0	0
Definitive endoderm	1	0.1608000721	0.01030473656
Definitive endoderm	2	0.3216001441	0.01467799765
Definitive endoderm	3	0.4824002162	0.01800126963
Definitive endoderm	4	0.6432002882	0.02059115955
Definitive endoderm	5	0.8040003603	0.02276647023
Definitive endoderm	6	0.9648004323	0.02452060811
Definitive endoderm	7	1.125600504	0.02588869081
Definitive endoderm	8	1.286400576	0.02705448038
Definitive endoderm	9	1.447200648	0.02793268447
Definitive endoderm	10	1.608000721	0.02865361779
Definitive endoderm	11	1.768800793	0.02915223625
Definitive endoderm	12	1.929600865	0.02952599813
Definitive endoderm	13	2.090400937	0.02982686352
Definitive endoderm	14	2.251201009	0.03002939523
Definitive endoderm	15	2.412001081	0.03018894279
Definitive endoderm	16	2.572801153	0.0302754633
Definitive endoderm	17	2.733601225	0.03036256564
Definitive endoderm	18	2.894401297	0.03043702638
Definitive endoderm	19	3.055201369	0.03050883236
Definitive endoderm	20	3.216001441	0.03061581481
Definitive endoderm	21	3.376801513	0.03080254828
Definitive endoderm	22	3.537601585	0.03094104598
Definitive endoderm	23	3.698401657	0.03098003913
Definitive endoderm	24	3.859201729	0.03101330694
Dermomyotome	0	0	0
Dermomyotome	1	0.1608000721	0.01857205031
Dermomyotome	2	0.3216001441	0.02928995056
Dermomyotome	3	0.4824002162	0.03682311299
Dermomyotome	4	0.6432002882	0.04185473288
Dermomyotome	5	0.8040003603	0.0455500607
Dermomyotome	6	0.9648004323	0.04835898986
Dermomyotome	7	1.125600504	0.05057129674
Dermomyotome	8	1.286400576	0.05236376531
Dermomyotome	9	1.447200648	0.05383822204
Dermomyotome	10	1.608000721	0.05513850727
Dermomyotome	11	1.768800793	0.05629769631
Dermomyotome	12	1.929600865	0.05743042852
Dermomyotome	13	2.090400937	0.05890700781
Dermomyotome	14	2.251201009	0.06040495591
Dermomyotome	15	2.412001081	0.06208457152
Dermomyotome	16	2.572801153	0.06390202566
Dermomyotome	17	2.733601225	0.0659172949
Dermomyotome	18	2.894401297	0.06805112953
Dermomyotome	19	3.055201369	0.07023689314
Dermomyotome	20	3.216001441	0.07232710704
Dermomyotome	21	3.376801513	0.0742184251
Dermomyotome	22	3.537601585	0.07570244728
Dermomyotome	23	3.698401657	0.07691928
Dermomyotome	24	3.859201729	0.07798149519
Endothelium	0	0	0
Endothelium	1	0.1608000721	0.01439074276
Endothelium	2	0.3216001441	0.02225135791
Endothelium	3	0.4824002162	0.02980661904
Endothelium	4	0.6432002882	0.03703424471
Endothelium	5	0.8040003603	0.0445501637
Endothelium	6	0.9648004323	0.051424983
Endothelium	7	1.125600504	0.05795747821
Endothelium	8	1.286400576	0.06435540409
Endothelium	9	1.447200648	0.07005295293
Endothelium	10	1.608000721	0.07511577228
Endothelium	11	1.768800793	0.08009695075
Endothelium	12	1.929600865	0.08506792187
Endothelium	13	2.090400937	0.08985532598
Endothelium	14	2.251201009	0.09465222612
Endothelium	15	2.412001081	0.09921976079
Endothelium	16	2.572801153	0.103754458
Endothelium	17	2.733601225	0.1077852372
Endothelium	18	2.894401297	0.1116498964
Endothelium	19	3.055201369	0.1153394032
Endothelium	20	3.216001441	0.1188768386
Endothelium	21	3.376801513	0.1222978198
Endothelium	22	3.537601585	0.1252416956
Endothelium	23	3.698401657	0.127977309
Endothelium	24	3.859201729	0.1305331715
Erythroid	0	0	0
Erythroid	1	0.1608000721	0.01075146855
Erythroid	2	0.3216001441	0.01557099251
Erythroid	3	0.4824002162	0.01856121323
Erythroid	4	0.6432002882	0.02061069344
Erythroid	5	0.8040003603	0.02271448813
Erythroid	6	0.9648004323	0.02476047658
Erythroid	7	1.125600504	0.02639189792
Erythroid	8	1.286400576	0.02738710721
Erythroid	9	1.447200648	0.02806025215
Erythroid	10	1.608000721	0.02870886345
Erythroid	11	1.768800793	0.02936970025
Erythroid	12	1.929600865	0.02986899545
Erythroid	13	2.090400937	0.03034516517
Erythroid	14	2.251201009	0.03081234501
Erythroid	15	2.412001081	0.03112906036
Erythroid	16	2.572801153	0.03151688883
Erythroid	17	2.733601225	0.03220368072
Erythroid	18	2.894401297	0.03280950388
Erythroid	19	3.055201369	0.03343068365
Erythroid	20	3.216001441	0.034001348
Erythroid	21	3.376801513	0.03479033719
Erythroid	22	3.537601585	0.0358828815
