cluster	degree_centrality	average_clustering	closeness_centrality
Cortex_1	0.06780366057	0.4071596244	0.05792212799
Cortex_2	0.04566022213	0.4015564202	0.04856463631
Cortex_3	0.06464811784	0.4	0.07623444275
Cortex_4	0.05507131537	0.3991869919	0.05118948628
Cortex_5	0.05705353654	0.4919896641	0.08824137931
Fiber_tract	0.1076360682	0.4020648968	0.1651351533
Hippocampus	0.07623682076	0.406006006	0.06995943147
Hypothalamus_1	0.0189516129	0.4241987179	0.03765620492
Hypothalamus_2	0.05636007828	0.4	0.09305798368
Lateral_ventricle	0.05845915602	0.4485714286	0.1317991632
Pyramidal_layer	0.02607709751	0.4	0.05373898209
Pyramidal_layer_dentate_gyrus	0.02557251908	0.4	0.06284028494
Striatum	0.0358974359	0.4	0.06639601886
Thalamus_1	0.03625875567	0.4	0.07431108389
Thalamus_2	0.03645833333	0.4194444444	0.07177982918
