cluster_1	cluster_2	pair_key	count
Cortex_1	Cortex_1	Cortex_1|Cortex_1	1352
Cortex_1	Cortex_2	Cortex_1|Cortex_2	1
Cortex_1	Cortex_3	Cortex_1|Cortex_3	145
Cortex_1	Cortex_4	Cortex_1|Cortex_4	128
Cortex_1	Cortex_5	Cortex_1|Cortex_5	4
Cortex_1	Fiber_tract	Cortex_1|Fiber_tract	4
Cortex_1	Hippocampus	Cortex_1|Hippocampus	40
Cortex_1	Hypothalamus_1	Cortex_1|Hypothalamus_1	0
Cortex_1	Hypothalamus_2	Cortex_1|Hypothalamus_2	0
Cortex_1	Lateral_ventricle	Cortex_1|Lateral_ventricle	0
Cortex_1	Pyramidal_layer	Cortex_1|Pyramidal_layer	0
Cortex_1	Pyramidal_layer_dentate_gyrus	Cortex_1|Pyramidal_layer_dentate_gyrus	0
Cortex_1	Striatum	Cortex_1|Striatum	0
Cortex_1	Thalamus_1	Cortex_1|Thalamus_1	0
Cortex_1	Thalamus_2	Cortex_1|Thalamus_2	0
Cortex_2	Cortex_2	Cortex_2|Cortex_2	1290
Cortex_2	Cortex_3	Cortex_2|Cortex_3	67
Cortex_2	Cortex_4	Cortex_2|Cortex_4	9
Cortex_2	Cortex_5	Cortex_2|Cortex_5	87
Cortex_2	Fiber_tract	Cortex_2|Fiber_tract	0
Cortex_2	Hippocampus	Cortex_2|Hippocampus	0
Cortex_2	Hypothalamus_1	Cortex_2|Hypothalamus_1	0
Cortex_2	Hypothalamus_2	Cortex_2|Hypothalamus_2	0
Cortex_2	Lateral_ventricle	Cortex_2|Lateral_ventricle	7
Cortex_2	Pyramidal_layer	Cortex_2|Pyramidal_layer	0
Cortex_2	Pyramidal_layer_dentate_gyrus	Cortex_2|Pyramidal_layer_dentate_gyrus	0
Cortex_2	Striatum	Cortex_2|Striatum	55
Cortex_2	Thalamus_1	Cortex_2|Thalamus_1	0
Cortex_2	Thalamus_2	Cortex_2|Thalamus_2	0
Cortex_3	Cortex_3	Cortex_3|Cortex_3	1140
Cortex_3	Cortex_4	Cortex_3|Cortex_4	0
Cortex_3	Cortex_5	Cortex_3|Cortex_5	2
Cortex_3	Fiber_tract	Cortex_3|Fiber_tract	83
Cortex_3	Hippocampus	Cortex_3|Hippocampus	3
Cortex_3	Hypothalamus_1	Cortex_3|Hypothalamus_1	0
Cortex_3	Hypothalamus_2	Cortex_3|Hypothalamus_2	0
Cortex_3	Lateral_ventricle	Cortex_3|Lateral_ventricle	0
Cortex_3	Pyramidal_layer	Cortex_3|Pyramidal_layer	0
Cortex_3	Pyramidal_layer_dentate_gyrus	Cortex_3|Pyramidal_layer_dentate_gyrus	0
Cortex_3	Striatum	Cortex_3|Striatum	18
Cortex_3	Thalamus_1	Cortex_3|Thalamus_1	0
Cortex_3	Thalamus_2	Cortex_3|Thalamus_2	0
Cortex_4	Cortex_4	Cortex_4|Cortex_4	678
Cortex_4	Cortex_5	Cortex_4|Cortex_5	140
Cortex_4	Fiber_tract	Cortex_4|Fiber_tract	0
Cortex_4	Hippocampus	Cortex_4|Hippocampus	0
Cortex_4	Hypothalamus_1	Cortex_4|Hypothalamus_1	0
Cortex_4	Hypothalamus_2	Cortex_4|Hypothalamus_2	0
Cortex_4	Lateral_ventricle	Cortex_4|Lateral_ventricle	0
Cortex_4	Pyramidal_layer	Cortex_4|Pyramidal_layer	0
Cortex_4	Pyramidal_layer_dentate_gyrus	Cortex_4|Pyramidal_layer_dentate_gyrus	0
Cortex_4	Striatum	Cortex_4|Striatum	0
Cortex_4	Thalamus_1	Cortex_4|Thalamus_1	0
Cortex_4	Thalamus_2	Cortex_4|Thalamus_2	0
Cortex_5	Cortex_5	Cortex_5|Cortex_5	330
Cortex_5	Fiber_tract	Cortex_5|Fiber_tract	0
Cortex_5	Hippocampus	Cortex_5|Hippocampus	6
Cortex_5	Hypothalamus_1	Cortex_5|Hypothalamus_1	0
Cortex_5	Hypothalamus_2	Cortex_5|Hypothalamus_2	0
Cortex_5	Lateral_ventricle	Cortex_5|Lateral_ventricle	20
Cortex_5	Pyramidal_layer	Cortex_5|Pyramidal_layer	0
Cortex_5	Pyramidal_layer_dentate_gyrus	Cortex_5|Pyramidal_layer_dentate_gyrus	0
Cortex_5	Striatum	Cortex_5|Striatum	0
Cortex_5	Thalamus_1	Cortex_5|Thalamus_1	0
Cortex_5	Thalamus_2	Cortex_5|Thalamus_2	0
Fiber_tract	Fiber_tract	Fiber_tract|Fiber_tract	878
Fiber_tract	Hippocampus	Fiber_tract|Hippocampus	92
Fiber_tract	Hypothalamus_1	Fiber_tract|Hypothalamus_1	7
Fiber_tract	Hypothalamus_2	Fiber_tract|Hypothalamus_2	90
Fiber_tract	Lateral_ventricle	Fiber_tract|Lateral_ventricle	84
Fiber_tract	Pyramidal_layer	Fiber_tract|Pyramidal_layer	1
Fiber_tract	Pyramidal_layer_dentate_gyrus	Fiber_tract|Pyramidal_layer_dentate_gyrus	0
Fiber_tract	Striatum	Fiber_tract|Striatum	43
Fiber_tract	Thalamus_1	Fiber_tract|Thalamus_1	35
Fiber_tract	Thalamus_2	Fiber_tract|Thalamus_2	24
Hippocampus	Hippocampus	Hippocampus|Hippocampus	872
Hippocampus	Hypothalamus_1	Hippocampus|Hypothalamus_1	0
Hippocampus	Hypothalamus_2	Hippocampus|Hypothalamus_2	13
Hippocampus	Lateral_ventricle	Hippocampus|Lateral_ventricle	34
Hippocampus	Pyramidal_layer	Hippocampus|Pyramidal_layer	128
Hippocampus	Pyramidal_layer_dentate_gyrus	Hippocampus|Pyramidal_layer_dentate_gyrus	104
Hippocampus	Striatum	Hippocampus|Striatum	0
Hippocampus	Thalamus_1	Hippocampus|Thalamus_1	3
Hippocampus	Thalamus_2	Hippocampus|Thalamus_2	0
Hypothalamus_1	Hypothalamus_1	Hypothalamus_1|Hypothalamus_1	1080
Hypothalamus_1	Hypothalamus_2	Hypothalamus_1|Hypothalamus_2	31
Hypothalamus_1	Lateral_ventricle	Hypothalamus_1|Lateral_ventricle	19
Hypothalamus_1	Pyramidal_layer	Hypothalamus_1|Pyramidal_layer	0
Hypothalamus_1	Pyramidal_layer_dentate_gyrus	Hypothalamus_1|Pyramidal_layer_dentate_gyrus	0
Hypothalamus_1	Striatum	Hypothalamus_1|Striatum	0
Hypothalamus_1	Thalamus_1	Hypothalamus_1|Thalamus_1	0
Hypothalamus_1	Thalamus_2	Hypothalamus_1|Thalamus_2	29
Hypothalamus_2	Hypothalamus_2	Hypothalamus_2|Hypothalamus_2	544
Hypothalamus_2	Lateral_ventricle	Hypothalamus_2|Lateral_ventricle	7
Hypothalamus_2	Pyramidal_layer	Hypothalamus_2|Pyramidal_layer	0
Hypothalamus_2	Pyramidal_layer_dentate_gyrus	Hypothalamus_2|Pyramidal_layer_dentate_gyrus	10
Hypothalamus_2	Striatum	Hypothalamus_2|Striatum	0
Hypothalamus_2	Thalamus_1	Hypothalamus_2|Thalamus_1	64
Hypothalamus_2	Thalamus_2	Hypothalamus_2|Thalamus_2	39
Lateral_ventricle	Lateral_ventricle	Lateral_ventricle|Lateral_ventricle	314
Lateral_ventricle	Pyramidal_layer	Lateral_ventricle|Pyramidal_layer	0
Lateral_ventricle	Pyramidal_layer_dentate_gyrus	Lateral_ventricle|Pyramidal_layer_dentate_gyrus	0
Lateral_ventricle	Striatum	Lateral_ventricle|Striatum	63
Lateral_ventricle	Thalamus_1	Lateral_ventricle|Thalamus_1	1
Lateral_ventricle	Thalamus_2	Lateral_ventricle|Thalamus_2	17
Pyramidal_layer	Pyramidal_layer	Pyramidal_layer|Pyramidal_layer	120
Pyramidal_layer	Pyramidal_layer_dentate_gyrus	Pyramidal_layer|Pyramidal_layer_dentate_gyrus	3
Pyramidal_layer	Striatum	Pyramidal_layer|Striatum	0
Pyramidal_layer	Thalamus_1	Pyramidal_layer|Thalamus_1	0
Pyramidal_layer	Thalamus_2	Pyramidal_layer|Thalamus_2	0
Pyramidal_layer_dentate_gyrus	Pyramidal_layer_dentate_gyrus	Pyramidal_layer_dentate_gyrus|Pyramidal_layer_dentate_gyrus	280
Pyramidal_layer_dentate_gyrus	Striatum	Pyramidal_layer_dentate_gyrus|Striatum	0
Pyramidal_layer_dentate_gyrus	Thalamus_1	Pyramidal_layer_dentate_gyrus|Thalamus_1	9
Pyramidal_layer_dentate_gyrus	Thalamus_2	Pyramidal_layer_dentate_gyrus|Thalamus_2	0
Striatum	Striatum	Striatum|Striatum	736
Striatum	Thalamus_1	Striatum|Thalamus_1	0
Striatum	Thalamus_2	Striatum|Thalamus_2	0
Thalamus_1	Thalamus_1	Thalamus_1|Thalamus_1	1382
Thalamus_1	Thalamus_2	Thalamus_1|Thalamus_2	72
Thalamus_2	Thalamus_2	Thalamus_2|Thalamus_2	902
