cluster_1	cluster_2	pair_key	radius_index	radius_start	radius_end	cooccurrence
Cortex_1	Cortex_1	Cortex_1->Cortex_1	0	137.5572662	307.8862915	6.763648987
Cortex_1	Cortex_1	Cortex_1->Cortex_1	1	307.8862915	478.215332	5.862192154
Cortex_1	Cortex_1	Cortex_1->Cortex_1	2	478.215332	648.5443726	4.817332745
Cortex_1	Cortex_1	Cortex_1->Cortex_1	3	648.5443726	818.8734131	4.319528103
Cortex_1	Cortex_1	Cortex_1->Cortex_1	4	818.8734131	989.2024536	3.826231718
Cortex_1	Cortex_1	Cortex_1->Cortex_1	5	989.2024536	1159.531494	3.565774441
Cortex_1	Cortex_1	Cortex_1->Cortex_1	6	1159.531494	1329.860474	3.357298851
Cortex_1	Cortex_1	Cortex_1->Cortex_1	7	1329.860474	1500.189575	3.205398321
Cortex_1	Cortex_1	Cortex_1->Cortex_1	8	1500.189575	1670.518555	3.087050915
Cortex_1	Cortex_1	Cortex_1->Cortex_1	9	1670.518555	1840.847656	2.932523489
Cortex_1	Cortex_1	Cortex_1->Cortex_1	10	1840.847656	2011.176636	2.815267324
Cortex_1	Cortex_1	Cortex_1->Cortex_1	11	2011.176636	2181.505615	2.685669899
Cortex_1	Cortex_1	Cortex_1->Cortex_1	12	2181.505615	2351.834717	2.583727121
Cortex_1	Cortex_1	Cortex_1->Cortex_1	13	2351.834717	2522.163818	2.476069212
Cortex_1	Cortex_1	Cortex_1->Cortex_1	14	2522.163818	2692.492676	2.368931293
Cortex_1	Cortex_1	Cortex_1->Cortex_1	15	2692.492676	2862.821777	2.280642271
Cortex_1	Cortex_1	Cortex_1->Cortex_1	16	2862.821777	3033.150879	2.182203054
Cortex_1	Cortex_1	Cortex_1->Cortex_1	17	3033.150879	3203.47998	2.103383541
Cortex_1	Cortex_1	Cortex_1->Cortex_1	18	3203.47998	3373.808838	2.018968821
Cortex_1	Cortex_1	Cortex_1->Cortex_1	19	3373.808838	3544.137939	1.9389534
Cortex_1	Cortex_1	Cortex_1->Cortex_1	20	3544.137939	3714.467041	1.868845105
Cortex_1	Cortex_1	Cortex_1->Cortex_1	21	3714.467041	3884.796143	1.79426682
Cortex_1	Cortex_1	Cortex_1->Cortex_1	22	3884.796143	4055.125	1.731104732
Cortex_1	Cortex_1	Cortex_1->Cortex_1	23	4055.125	4225.454102	1.663429737
Cortex_1	Cortex_2	Cortex_1->Cortex_2	0	137.5572662	307.8862915	0.006219401024
Cortex_1	Cortex_2	Cortex_1->Cortex_2	1	307.8862915	478.215332	0.009460722096
Cortex_1	Cortex_2	Cortex_1->Cortex_2	2	478.215332	648.5443726	0.01611046121
Cortex_1	Cortex_2	Cortex_1->Cortex_2	3	648.5443726	818.8734131	0.01959210262
Cortex_1	Cortex_2	Cortex_1->Cortex_2	4	818.8734131	989.2024536	0.03163730353
Cortex_1	Cortex_2	Cortex_1->Cortex_2	5	989.2024536	1159.531494	0.04574362934
Cortex_1	Cortex_2	Cortex_1->Cortex_2	6	1159.531494	1329.860474	0.06455765665
Cortex_1	Cortex_2	Cortex_1->Cortex_2	7	1329.860474	1500.189575	0.08521618694
Cortex_1	Cortex_2	Cortex_1->Cortex_2	8	1500.189575	1670.518555	0.1016526967
Cortex_1	Cortex_2	Cortex_1->Cortex_2	9	1670.518555	1840.847656	0.130625695
Cortex_1	Cortex_2	Cortex_1->Cortex_2	10	1840.847656	2011.176636	0.1561986655
Cortex_1	Cortex_2	Cortex_1->Cortex_2	11	2011.176636	2181.505615	0.1862211078
Cortex_1	Cortex_2	Cortex_1->Cortex_2	12	2181.505615	2351.834717	0.2125066221
Cortex_1	Cortex_2	Cortex_1->Cortex_2	13	2351.834717	2522.163818	0.2431159616
Cortex_1	Cortex_2	Cortex_1->Cortex_2	14	2522.163818	2692.492676	0.2798714638
Cortex_1	Cortex_2	Cortex_1->Cortex_2	15	2692.492676	2862.821777	0.3117946684
Cortex_1	Cortex_2	Cortex_1->Cortex_2	16	2862.821777	3033.150879	0.3487727642
Cortex_1	Cortex_2	Cortex_1->Cortex_2	17	3033.150879	3203.47998	0.3777718246
Cortex_1	Cortex_2	Cortex_1->Cortex_2	18	3203.47998	3373.808838	0.4110991955
Cortex_1	Cortex_2	Cortex_1->Cortex_2	19	3373.808838	3544.137939	0.4434432089
Cortex_1	Cortex_2	Cortex_1->Cortex_2	20	3544.137939	3714.467041	0.4693076313
Cortex_1	Cortex_2	Cortex_1->Cortex_2	21	3714.467041	3884.796143	0.5009554029
Cortex_1	Cortex_2	Cortex_1->Cortex_2	22	3884.796143	4055.125	0.5299699306
Cortex_1	Cortex_2	Cortex_1->Cortex_2	23	4055.125	4225.454102	0.5587215424
Cortex_1	Cortex_3	Cortex_1->Cortex_3	0	137.5572662	307.8862915	1.296011686
Cortex_1	Cortex_3	Cortex_1->Cortex_3	1	307.8862915	478.215332	1.704645038
Cortex_1	Cortex_3	Cortex_1->Cortex_3	2	478.215332	648.5443726	2.129792213
Cortex_1	Cortex_3	Cortex_1->Cortex_3	3	648.5443726	818.8734131	2.278380156
Cortex_1	Cortex_3	Cortex_1->Cortex_3	4	818.8734131	989.2024536	2.33840704
Cortex_1	Cortex_3	Cortex_1->Cortex_3	5	989.2024536	1159.531494	2.291934967
Cortex_1	Cortex_3	Cortex_1->Cortex_3	6	1159.531494	1329.860474	2.195443392
Cortex_1	Cortex_3	Cortex_1->Cortex_3	7	1329.860474	1500.189575	2.122140646
Cortex_1	Cortex_3	Cortex_1->Cortex_3	8	1500.189575	1670.518555	2.057556391
Cortex_1	Cortex_3	Cortex_1->Cortex_3	9	1670.518555	1840.847656	2.003004313
Cortex_1	Cortex_3	Cortex_1->Cortex_3	10	1840.847656	2011.176636	1.945169091
Cortex_1	Cortex_3	Cortex_1->Cortex_3	11	2011.176636	2181.505615	1.896159649
