rank	feature	f_statistic	p_value
1	segmentation_label	180.9953301	0
2	texture_ch-0_contrast_dist-1_angle-0.00	177.6199821	0
3	summary_ch-2_quantile-0.9	139.1869433	6.990901435e-305
4	summary_ch-2_std	124.3645053	2.169357038e-278
5	histogram_ch-0_bin-1	99.539169	3.732977432e-231
6	segmentation_ch-0_mean_intensity_mean	73.84271496	6.309892146e-178
7	histogram_ch-0_bin-2	73.58933997	2.235090733e-177
8	histogram_ch-0_bin-3	72.8939801	7.232829229e-176
9	texture_ch-0_homogeneity_dist-1_angle-0.00	70.66884737	5.21222546e-171
10	summary_ch-0_std	70.15819361	6.87710997e-170
11	summary_ch-0_mean	69.4638329	2.313150327e-168
12	summary_ch-0_quantile-0.9	67.11050638	3.696867133e-163
13	segmentation_area_mean	66.50395693	8.247852558e-162
14	summary_ch-0_quantile-0.1	65.95394421	1.386003621e-160
15	summary_ch-0_quantile-0.5	58.8661131	1.443406277e-144
16	summary_ch-1_quantile-0.9	52.65258215	3.595502803e-130
17	histogram_ch-0_bin-0	50.27119607	1.457711859e-124
18	summary_ch-2_quantile-0.1	49.12689331	7.524810548e-122
19	summary_ch-1_mean	40.34445104	1.245921128e-100
20	segmentation_ch-0_mean_intensity_std	37.94075047	1.065286309e-94
21	summary_ch-1_std	37.655346	5.437289052e-94
22	summary_ch-1_quantile-0.1	37.35673035	2.998343939e-93
23	summary_ch-1_quantile-0.5	30.62519256	2.583924104e-76
24	segmentation_area_std	18.08606276	1.039987851e-43
25	summary_ch-2_mean	17.27080707	1.501140911e-41
26	summary_ch-2_quantile-0.5	13.81981101	2.219618242e-32
